q,section,module,label,answer,part,page
1,1,1,Reading and Writing,C,1,2
2,1,1,Reading and Writing,A,1,3
3,1,1,Reading and Writing,C,1,4
4,1,1,Reading and Writing,C,1,5
5,1,1,Reading and Writing,D,1,6
6,1,1,Reading and Writing,B,1,7
7,1,1,Reading and Writing,D,1,8
8,1,1,Reading and Writing,D,1,9
9,1,1,Reading and Writing,C,1,10
10,1,1,Reading and Writing,D,1,11
11,1,1,Reading and Writing,C,1,12
12,1,1,Reading and Writing,C,1,13
13,1,1,Reading and Writing,C,1,14
14,1,1,Reading and Writing,B,1,15
15,1,1,Reading and Writing,C,1,16
16,1,1,Reading and Writing,C,1,17
17,1,1,Reading and Writing,A,1,18
18,1,1,Reading and Writing,C,1,19
19,1,1,Reading and Writing,D,1,20
20,1,1,Reading and Writing,C,1,21
21,1,1,Reading and Writing,D,1,22
22,1,1,Reading and Writing,A,1,23
23,1,1,Reading and Writing,C,1,24
24,1,1,Reading and Writing,C,1,25
25,1,1,Reading and Writing,A,1,26
26,1,1,Reading and Writing,D,1,27
27,1,1,Reading and Writing,D,1,28
28,1,1,Reading and Writing,A,1,29
29,1,1,Reading and Writing,A,1,30
30,1,1,Reading and Writing,B,1,31
31,1,1,Reading and Writing,B,1,32
32,1,1,Reading and Writing,C,1,33
33,1,1,Reading and Writing,D,1,34
34,1,1,Reading and Writing,C,1,35
35,1,1,Reading and Writing,C,1,36
36,1,1,Reading and Writing,D,1,37
37,1,1,Reading and Writing,A,1,38
38,1,1,Reading and Writing,D,1,39
39,1,1,Reading and Writing,B,1,40
40,1,1,Reading and Writing,B,1,41
41,1,1,Reading and Writing,A,1,42
42,1,1,Reading and Writing,D,1,43
43,1,1,Reading and Writing,D,1,44
44,1,1,Reading and Writing,B,1,45
45,1,1,Reading and Writing,D,1,46
46,1,1,Reading and Writing,A,1,47
47,1,1,Reading and Writing,D,1,48
48,1,1,Reading and Writing,A,1,49
49,1,1,Reading and Writing,D,1,50
50,1,1,Reading and Writing,B,1,51
51,1,1,Reading and Writing,A,1,52
52,1,1,Reading and Writing,A,1,53
53,1,1,Reading and Writing,C,1,54
54,1,1,Reading and Writing,C,1,55
55,1,1,Reading and Writing,C,1,56
56,1,1,Reading and Writing,A,1,57
57,1,1,Reading and Writing,D,1,58
58,1,2,Reading and Writing,C,1,60
59,1,2,Reading and Writing,A,1,61
60,1,2,Reading and Writing,B,1,62
61,1,2,Reading and Writing,C,1,63
62,1,2,Reading and Writing,C,1,64
63,1,2,Reading and Writing,A,1,65
